feature,importance,abs_importance
Employment,2.7850796030888216,2.7850796030888216
Average Employees per Establishment,-2.2562823771551748,2.2562823771551748
Establishments,-2.1846114205928076,2.1846114205928076
"Cost of Living Index (BEA RPP, 100 = US avg)",-2.12488904712262,2.12488904712262
Annual Payroll per Employee,1.9785330395119156,1.9785330395119156
Payroll per Capita,1.80886210352558,1.80886210352558
Employment per 100 Residents,1.7910489755055639,1.7910489755055639
Unemployment Trend Slope (2020-2024),1.5297827098555532,1.5297827098555532
"Housing Cost Index (BEA RPP, 100 = US avg)",1.2872233152439199,1.2872233152439199
Population,-1.256184106558777,1.256184106558777
Employment Share: Agriculture,-1.1296770602563466,1.1296770602563466
Employment Share: Mining & Oil/Gas,0.5854815281886299,0.5854815281886299
Employment Share: Accommodation & Food,-0.583883014123412,0.583883014123412
Employment Share: Educational Services,-0.5183264833251389,0.5183264833251389
Employment Share: Professional Services,0.49463355374503293,0.49463355374503293
Employment Share: Arts & Recreation,0.48049277240934896,0.48049277240934896
Employment Share: Other Services,-0.45419066355797333,0.45419066355797333
Employment Share: Health Care,-0.42129908875909994,0.42129908875909994
Employment Share: Finance & Insurance,0.41903593824560365,0.41903593824560365
Employment Share: Management of Companies,0.38870579353244583,0.38870579353244583
Employment Share: Information,0.3679932501023204,0.3679932501023204
Share of Large Establishments,-0.3599304291731991,0.3599304291731991
Employment Share: Administrative Support,-0.2907748112315924,0.2907748112315924
State Business Climate Score,-0.26626384884816645,0.26626384884816645
Employment Share: Transportation & Warehousing,0.24743558188334513,0.24743558188334513
Employment Share: Wholesale Trade,-0.2304274274334565,0.2304274274334565
Employment Share: Retail Trade,0.21372653491263344,0.21372653491263344
Employment Share: Unclassified,0.16485827993774707,0.16485827993774707
Employment Share: Utilities,0.12384297738600333,0.12384297738600333
Employment Share: Real Estate,0.11254000677322887,0.11254000677322887
Employment Share: Construction,0.09878020247569429,0.09878020247569429
Employment Share: Manufacturing,0.0964173152019322,0.0964173152019322
Share of Small Establishments,-0.08276311606687645,0.08276311606687645
Share of Mid-size Establishments,-0.03396300519653667,0.03396300519653667
