metro_title,primary_state,region,opportunity_score,median_income,unemployment_rate,population,establishments_per_10k,annual_payroll_per_employee,industry_entropy,cluster,pca_1,pca_2,cluster_name
"New York-Newark-Jersey City, NY-NJ",NY,Northeast,0.46919388071743867,99852,4.5,19940274,282.24386485361237,89.82669493862078,2.5631046841507623,3,-9.849233630273911,12.282240046620933,Major Metro Engine
"Los Angeles-Long Beach-Anaheim, CA",CA,West,0.46476790785062283,96405,5.4,12927614,318.6581839463957,75.11991188313435,2.6050711168178005,3,-6.865717003606308,10.107252054543624,Major Metro Engine
"Chicago-Naperville-Elgin, IL-IN",IL,Midwest,0.4792405481148879,90770,5.1,9406924,264.18731564111715,77.43704892076964,2.5845345107940774,3,-7.058362824234952,4.833223480268546,Major Metro Engine
"Dallas-Fort Worth-Arlington, TX",TX,South,0.4802906134693367,92733,3.9,8344032,227.39486138116442,72.41955697045886,2.578573866863936,3,-6.454000723846416,4.0215049720304865,Major Metro Engine
"Houston-Pasadena-The Woodlands, TX",TX,South,0.47016424444745786,81417,4.4,7796182,207.8645675537077,75.20620800288354,2.590691278402269,3,-4.562394464188023,3.3446189259797157,Major Metro Engine
"Miami-Fort Lauderdale-West Palm Beach, FL",FL,South,0.4168214423036828,80625,2.9,6457988,344.36112299991885,65.35859957937635,2.536009863142168,3,-1.9877598449641902,7.275757579771148,Major Metro Engine
"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,South,0.5000727191479241,126244,3.0,6437907,246.97778330752527,84.84786410689628,2.4567468739572513,3,-6.268479656646582,6.2032946478185895,Major Metro Engine
"Atlanta-Sandy Springs-Roswell, GA",GA,South,0.505817728021998,92344,3.4,6409047,254.4886938728956,71.56824275314548,2.568822446566754,3,-4.899566358430046,4.004869826514988,Major Metro Engine
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",PA,Northeast,0.4815981766710117,90850,3.8,6330422,242.93957022138494,72.12345265323322,2.5727621595727608,3,-5.696759745407954,3.0877415842479645,Major Metro Engine
"Phoenix-Mesa-Chandler, AZ",AZ,West,0.4565634291585879,90133,3.2,5186958,220.9117559849145,64.86872982207856,2.551859688090533,2,-3.9162292515778705,3.0082617950358945,Elite Opportunity Market
"Boston-Cambridge-Newton, MA-NH",MA,Northeast,0.546399359690854,117825,3.7,5025517,266.25519324678436,94.16167854468651,2.5636748719406754,3,-7.80679058369628,4.590819032260138,Major Metro Engine
"Riverside-San Bernardino-Ontario, CA",CA,West,0.40077649289394296,91013,5.2,4744214,187.20698518237162,53.63145082488347,2.563496718395224,2,-0.7820730774619856,2.291034644688155,Elite Opportunity Market
"San Francisco-Oakland-Fremont, CA",CA,West,0.577280763262014,135590,4.2,4648486,286.6438664115585,129.83934435994925,2.550544475111097,3,-9.408666188110287,8.111574310698607,Major Metro Engine
"Detroit-Warren-Dearborn, MI",MI,Midwest,0.43017703259932843,76403,4.5,4400578,232.76487770470152,68.2282650779735,2.5565775719896395,2,-4.287562229285534,1.7998642849570412,Elite Opportunity Market
"Seattle-Tacoma-Bellevue, WA",WA,West,0.5179830091449329,112388,4.2,4145494,267.0007482823519,96.52518174596057,2.5731787482229294,3,-5.985552466439423,5.492294613168998,Major Metro Engine
"Minneapolis-St. Paul-Bloomington, MN-WI",MN,Midwest,0.5123083763846605,97928,2.9,3757952,264.6201973841071,72.87730687497812,2.5828544391872668,2,-5.765939395716216,1.8907942863985956,Elite Opportunity Market
