metro_title,primary_state,region,lat,lon,opportunity_score,scenario,split,actual_label,predicted_label,predicted_probability_high,error_type,is_misclassified
"Asheville, NC",NC,South,35.61634,-82.570683,0.4541,Fold 1,Training,,,,,False
"Ocala, FL",FL,South,29.202805,-82.0431,0.385,Fold 1,Training,,,,,False
"Roanoke, VA",VA,South,37.286226,-79.946935,0.478,Fold 1,Training,,,,,False
"Huntsville, AL",AL,South,34.783262,-86.734871,0.4804,Fold 1,Training,,,,,False
"Dover, DE",DE,South,39.097088,-75.502982,0.4792,Fold 1,Training,,,,,False
"Lafayette-West Lafayette, IN",IN,Midwest,40.482153,-87.017112,0.4131,Fold 1,Training,,,,,False
"Akron, OH",OH,Midwest,41.146639,-81.35011,0.4669,Fold 1,Training,,,,,False
"Bangor, ME",ME,Northeast,45.409284,-68.666616,0.4332,Fold 1,Training,,,,,False
"San Antonio-New Braunfels, TX",TX,South,29.43306,-98.606973,0.4496,Fold 1,Training,,,,,False
"Mansfield, OH",OH,Midwest,40.774159,-82.542781,0.4124,Fold 1,Training,,,,,False
"Hilton Head Island-Bluffton-Port Royal, SC",SC,South,32.386792,-80.830877,0.4556,Fold 1,Training,,,,,False
"Savannah, GA",GA,South,32.109256,-81.273287,0.4725,Fold 1,Training,,,,,False
"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,South,38.829787,-77.495684,0.5001,Fold 1,Training,,,,,False
"Albany, GA",GA,South,31.644686,-84.110718,0.4046,Fold 1,Training,,,,,False
"Traverse City, MI",MI,Midwest,44.952324,-85.90832,0.5112,Fold 1,Training,,,,,False
"Paducah, KY-IL",KY,South,37.094234,-88.71705,0.4338,Fold 1,Training,,,,,False
"San Francisco-Oakland-Fremont, CA",CA,West,37.773718,-122.274432,0.5773,Fold 1,Training,,,,,False
"Cape Girardeau, MO-IL",MO,Midwest,37.325936,-89.762639,0.4694,Fold 1,Training,,,,,False
"Bowling Green, KY",KY,South,37.046804,-86.397398,0.4077,Fold 1,Training,,,,,False
"Lebanon, PA",PA,Northeast,40.371448,-76.464819,0.4356,Fold 1,Training,,,,,False
"Blacksburg-Christiansburg-Radford, VA",VA,South,37.121364,-80.531517,0.4032,Fold 1,Training,,,,,False
"Rochester, NY",NY,Northeast,43.184718,-77.556558,0.4581,Fold 1,Training,,,,,False
"Norwich-New London-Willimantic, CT",CT,Northeast,41.484769,-72.101666,0.4231,Fold 1,Training,,,,,False
"Harrisburg-Carlisle, PA",PA,Northeast,40.335915,-77.05049,0.4603,Fold 1,Training,,,,,False
"Detroit-Warren-Dearborn, MI",MI,Midwest,42.721848,-83.200846,0.4302,Fold 1,Training,,,,,False
"Winston-Salem, NC",NC,South,36.078852,-80.345064,0.4277,Fold 1,Training,,,,,False
"Decatur, AL",AL,South,34.489361,-87.097147,0.4561,Fold 1,Training,,,,,False
"Kennewick-Richland, WA",WA,West,46.364155,-119.254927,0.4437,Fold 1,Training,,,,,False
"Greenville-Anderson-Greer, SC",SC,South,34.683709,-82.413423,0.4584,Fold 1,Training,,,,,False
"Erie, PA",PA,Northeast,42.117952,-80.096386,0.4241,Fold 1,Training,,,,,False
"Athens-Clarke County, GA",GA,South,33.943984,-83.213897,0.4267,Fold 1,Training,,,,,False
"Hartford-West Hartford-East Hartford, CT",CT,Northeast,41.688038,-72.545112,0.4863,Fold 1,Training,,,,,False
"Santa Fe, NM",NM,West,35.514531,-105.963972,0.4757,Fold 1,Training,,,,,False
"Burlington, NC",NC,South,36.043954,-79.400573,0.4092,Fold 1,Training,,,,,False
"Tampa-St. Petersburg-Clearwater, FL",FL,South,28.120541,-82.525188,0.4391,Fold 1,Training,,,,,False
"Des Moines-West Des Moines, IA",IA,Midwest,41.57705,-93.759712,0.5438,Fold 1,Training,,,,,False
"Monroe, LA",LA,South,32.67396,-92.058318,0.4368,Fold 1,Training,,,,,False
"Auburn-Opelika, AL",AL,South,32.492206,-85.527127,0.4399,Fold 1,Training,,,,,False
"Lafayette, LA",LA,South,30.012961,-92.136552,0.4837,Fold 1,Training,,,,,False
"Kansas City, MO-KS",MO,Midwest,38.931857,-94.443841,0.5177,Fold 1,Training,,,,,False
"Appleton, WI",WI,Midwest,44.290603,-88.372326,0.5302,Fold 1,Training,,,,,False
"Homosassa Springs, FL",FL,South,28.850292,-82.595552,0.3316,Fold 1,Training,,,,,False
"Jacksonville, FL",FL,South,30.234184,-81.756033,0.4543,Fold 1,Training,,,,,False
"Kalamazoo-Portage, MI",MI,Midwest,42.246266,-85.532854,0.4284,Fold 1,Training,,,,,False
"Cedar Rapids, IA",IA,Midwest,42.086289,-91.631095,0.5179,Fold 1,Training,,,,,False
"Olympia-Lacey-Tumwater, WA",WA,West,46.935822,-122.830152,0.4358,Fold 1,Training,,,,,False
"Omaha, NE-IA",NE,Midwest,41.290459,-95.99997,0.5283,Fold 1,Training,,,,,False
"Flint, MI",MI,Midwest,43.021077,-83.706372,0.346,Fold 1,Training,,,,,False
"New Orleans-Metairie, LA",LA,South,29.282447,-89.576068,0.4433,Fold 1,Training,,,,,False
"Chambersburg, PA",PA,Northeast,39.926772,-77.724521,0.4261,Fold 1,Training,,,,,False
"Winchester, VA-WV",VA,South,39.272974,-78.471828,0.4523,Fold 1,Training,,,,,False
"Santa Maria-Santa Barbara, CA",CA,West,34.536677,-120.038364,0.4648,Fold 1,Training,,,,,False
"Florence, SC",SC,South,34.153574,-79.806164,0.3913,Fold 1,Training,,,,,False
"Columbia, SC",SC,South,34.077585,-81.037845,0.4366,Fold 1,Training,,,,,False
"Greensboro-High Point, NC",NC,South,36.025204,-79.792633,0.4482,Fold 1,Training,,,,,False
"Watertown-Fort Drum, NY",NY,Northeast,43.996389,-76.052968,0.4312,Fold 1,Training,,,,,False
"Fairbanks-College, AK",AK,West,64.670454,-146.496061,0.4965,Fold 1,Training,,,,,False
"Ames, IA",IA,Midwest,42.036128,-93.698008,0.4957,Fold 1,Training,,,,,False
"Morgantown, WV",WV,South,39.525155,-79.801912,0.4465,Fold 1,Training,,,,,False
"Lexington Park, MD",MD,South,38.312696,-76.527935,0.5056,Fold 1,Training,,,,,False
"Sheboygan, WI",WI,Midwest,43.738713,-87.731531,0.4558,Fold 1,Training,,,,,False
"Rochester, MN",MN,Midwest,43.94981,-92.33066,0.5503,Fold 1,Training,,,,,False
