NAME,median_income,population,cbsa,metro_title,norm_title,bls_title,unemployment_rate,recent_unemployment_change,unemployment_2020,unemployment_2021,unemployment_2022,unemployment_2023,primary_state,region,msa,emp,qp1,ap,est,small_est_share,mid_est_share,large_est_share,avg_emp_per_est,annual_payroll_per_employee,annual_payroll_per_est,emp_share_11,emp_share_21,emp_share_22,emp_share_23,emp_share_31,emp_share_42,emp_share_44,emp_share_48,emp_share_51,emp_share_52,emp_share_53,emp_share_54,emp_share_55,emp_share_56,emp_share_61,emp_share_62,emp_share_71,emp_share_72,emp_share_81,emp_share_99,sector_est_11,sector_est_21,sector_est_22,sector_est_23,sector_est_31,sector_est_42,sector_est_44,sector_est_48,sector_est_51,sector_est_52,sector_est_53,sector_est_54,sector_est_55,sector_est_56,sector_est_61,sector_est_62,sector_est_71,sector_est_72,sector_est_81,sector_est_99,est_share_11,est_share_21,est_share_22,est_share_23,est_share_31,est_share_42,est_share_44,est_share_48,est_share_51,est_share_52,est_share_53,est_share_54,est_share_55,est_share_56,est_share_61,est_share_62,est_share_71,est_share_72,est_share_81,est_share_99,industry_entropy,cost_of_living_index,housing_cost_index,lat,lon,real_median_income,establishments_per_10k,employment_per_100,payroll_per_capita,sector_est_per_10k_11,sector_est_per_10k_21,sector_est_per_10k_22,sector_est_per_10k_23,sector_est_per_10k_31,sector_est_per_10k_42,sector_est_per_10k_44,sector_est_per_10k_48,sector_est_per_10k_51,sector_est_per_10k_52,sector_est_per_10k_53,sector_est_per_10k_54,sector_est_per_10k_55,sector_est_per_10k_56,sector_est_per_10k_61,sector_est_per_10k_62,sector_est_per_10k_71,sector_est_per_10k_72,sector_est_per_10k_81,sector_est_per_10k_99,unemployment_trend_slope,state_business_climate_rank,state_business_climate_norm,saturation_72,saturation_44,saturation_62,saturation_54,saturation_81,saturation_51,saturation_61,saturation_23,saturation_52,median_income_norm,real_median_income_norm,inverse_unemployment_norm,annual_payroll_per_employee_norm,establishments_per_10k_norm,industry_entropy_norm,affordability_norm,opportunity_score,high_opportunity
"New York-Newark-Jersey City, NY-NJ Metro Area",99852,19940274,35620,"New York-Newark-Jersey City, NY-NJ","NEW YORK-NEWARK-JERSEY CITY, NY-NJ","New York-Newark-Jersey City, NY-NJ",4.5,0.20000000000000018,10.3,7.6,4.4,4.3,NY,Northeast,35620,8559248,221815259,768848959,562802,0.954163275894542,0.038425591948855906,0.007411132156602144,15.208275734627808,89.82669493862078,1366.109144956841,0.00011753368987555916,0.00013120311504001287,0.004478313982723716,0.044987947539316536,0.03479289302050834,0.047992417090847235,0.09864417995599613,0.043986808186887445,0.041176397739614505,0.06715706800410504,0.023216759229315473,0.09301903625178287,0.029855893882266293,0.05863260417270302,0.04523680117692582,0.2108665387426559,0.020533112254721445,0.08885430121898559,0.04618933812877019,0.00013085261695887303,290,75,672,50911,12747,30739,70682,17567,11870,25005,35431,71000,2864,29214,9906,65817,13600,54166,59479,767,0.0005152789080351527,0.00013326178656081534,0.0011940256075849056,0.09045987754130227,0.022649173243876178,0.05461778742790537,0.125589461302554,0.031213464060184576,0.021090898753025042,0.04442947963937584,0.06295464479514998,0.12615449127757186,0.005088823422802336,0.05190813110116879,0.01760121676895249,0.11694521341430912,0.02416480396302785,0.09624343907804166,0.10568370403800982,0.0013628238705619383,2.5631046841507623,112.563,148.616,40.735425,-73.80773,88707.65704538791,282.24386485361237,42.92442521100763,38.55759248844825,0.14543431048139058,0.0376123216762217,0.33700640221894645,25.531745451441637,6.3925901920906405,15.41553541340505,35.44685494291603,8.80980873181582,5.952776777290021,12.539948046852315,17.76856225746948,35.60633118682321,1.4362891904093193,14.650751539321877,4.9678354469953625,33.00706901018511,6.820367663954868,27.164120212189662,29.828577079733208,0.38464867634216054,-1.4900000000000002,48.0,0.020833333333333332,1.2244204176412317,1.1176138892863625,1.1791301318778709,1.7824703062503942,1.2592460556754568,1.664516393399413,1.8331123310553181,1.1590291216782485,0.9756037112585718,0.4276309991716164,0.33593902470346887,0.8323353293413173,0.38789173781652336,0.3947015613531174,0.6121771802749348,0.09526486756621678,0.46919388071743867,0
"Los Angeles-Long Beach-Anaheim, CA Metro Area",96405,12927614,31080,"Los Angeles-Long Beach-Anaheim, CA","LOS ANGELES-LONG BEACH-ANAHEIM, CA","Los Angeles-Long Beach-Anaheim, CA",5.4,0.7000000000000002,11.4,8.2,4.6,4.7,CA,West,31080,5568514,105144911,418306281,411949,0.9550259862264504,0.0391650422746505,0.005808971498899136,13.517483960393156,75.11991188313435,1015.4322039864157,0.00016862667490824302,0.00040639208234010006,0.003295852358456852,0.045141306998599626,0.07812155989910415,0.060436231281810554,0.10175317867567542,0.045179019034521595,0.05032042659855035,0.041417871985237,0.025696083371614043,0.0846355059895692,0.024748433783231934,0.0650160886728488,0.03676761879381106,0.15186547075216117,0.02909268074031959,0.11551430058360274,0.040295669544873194,0.0001276821787643885,165,115,382,25486,14403,27945,38838,14641,14363,19258,26824,61848,1875,16789,6710,53869,23171,34060,30755,452,0.00040053501768422793,0.00027916076990112856,0.0009272992530628792,0.06186688158000141,0.0349630658163996,0.06783606708597424,0.09427866070800026,0.035540807235847155,0.034865966418173126,0.04674850527613855,0.06511485645067715,0.1501350895377826,0.004551534291866226,0.04075504492060911,0.016288424052491934,0.1307661870765556,0.05624725390764391,0.08268013758984728,0.07465729981138441,0.0010972231999592183,2.6050711168178005,113.566,170.433,34.108703,-118.182753,84888.96324604195,318.6581839463957,43.074568903434155,32.35757820429973,0.12763376134219354,0.08895686396577127,0.29549149595586627,19.714388130709967,11.141267058252204,21.616517943682414,30.042666806109775,11.325369089763974,11.110325540351065,14.896793793502805,20.74938190450303,47.84177497873931,1.4503836516158357,12.986928601055073,5.190439627915871,41.66971569540984,17.923647782181614,26.34670249281886,23.790159576237347,0.34963915228285747,-1.5500000000000003,49.0,0.0,1.187575383179552,0.9472237169639433,1.4885907424279485,2.394982590328601,1.0043276462765325,3.106671002425452,1.9152524247326668,0.8949466460496406,1.158965512177146,0.3972539965102138,0.2940501994115247,0.778443113772455,0.2882164053381289,0.4809827253538995,0.7586212498568459,0.0639367816091953,0.46476790785062283,0
"Chicago-Naperville-Elgin, IL-IN Metro Area",90770,9406924,16980,"Chicago-Naperville-Elgin, IL-IN","CHICAGO-NAPERVILLE-ELGIN, IL-IN","Chicago-Naperville-Elgin, IL-IN",5.1,0.6999999999999993,9.8,6.2,4.6,4.4,IL,Midwest,16980,4285971,90241811,331892946,248519,0.9412560005472419,0.05042270409908297,0.008321295353675172,17.24604959781747,77.43704892076964,1335.483186396211,0.00011829291425443615,0.0002365858285088723,0.004380337617776695,0.04212417676181197,0.08653138343679881,0.059196154150366394,0.09832637691668936,0.06635789182894611,0.023587187127491062,0.06498994043590123,0.016645469603037446,0.09552654462664353,0.0408187549565781,0.063418067924398,0.03416215368699415,0.14980992638540952,0.016844024376273196,0.09509537045397648,0.0417839971385714,4.736382957327523e-05,114,89,334,22707,9298,12261,25308,17514,4185,13997,11494,32828,1601,13375,3832,29768,4207,22059,23392,156,0.0004587174421271613,0.00035812151183611715,0.0013439616286883497,0.09136927156474958,0.037413638393845136,0.04933626805193969,0.1018352721522298,0.07047348492469388,0.01683975873072079,0.0563216494513498,0.046249984910610456,0.13209452798377588,0.006442163375838467,0.05381882270570862,0.015419344195011246,0.11978158611615208,0.01692828314937691,0.08876182505160571,0.09412560005472419,0.0006277186050161154,2.5845345107940774,103.595,112.01,41.75878,-87.841887,87620.05888315073,264.18731564111715,45.56187548660965,35.281771809786065,0.12118732967333423,0.09461116088532234,0.3550576150078389,24.138602586775445,9.884208695637383,13.034016220392555,26.903587187480202,18.618200806129614,4.4488506551131906,14.8794653810321,12.218659361976348,34.897698758914174,1.7019378491842818,14.218250301586362,4.0735951518264635,31.644775699261526,4.472237683646641,23.449748291790176,24.86678961156697,0.16583529323719423,-1.1200000000000003,40.0,0.1875,1.0569954179532408,0.8482507901131432,1.1304641600259018,1.7469958212728063,1.0497787625596386,1.2439883308698174,1.503141073051573,1.095786553563298,1.157617367555376,0.3475950437985794,0.32400871245544427,0.7964071856287425,0.3039208189922175,0.3519178399296335,0.6869576851842031,0.3753748125937031,0.4792405481148879,1
"Dallas-Fort Worth-Arlington, TX Metro Area",92733,8344032,19100,"Dallas-Fort Worth-Arlington, TX","DALLAS-FORT WORTH-ARLINGTON, TX","Dallas-Fort Worth-Arlington, TX",3.9,0.10000000000000009,7.1,5.1,3.6,3.8,TX,South,19100,3594749,67940888,260330130,189739,0.9345469302568264,0.055808241848012266,0.009644827895161247,18.945757066285793,72.41955697045886,1372.0433332103573,0.000128520795193211,0.0035404419056796455,0.002883650569205249,0.06088491852977774,0.07839462504892553,0.05306406650366966,0.10478728834753136,0.07367273765150223,0.030594625660929315,0.07307241757352183,0.023113992103482053,0.0849544710910275,0.04155922986556224,0.06621741879613847,0.01793671825209493,0.1251442033922257,0.015244736141521982,0.10463234011609712,0.04008708257516728,8.651508074694505e-05,119,830,269,15353,5673,9324,21680,6217,3430,12347,11415,27552,1750,10049,2778,23741,2881,18161,15949,221,0.0006271773330733271,0.004374430138242533,0.0014177369966111343,0.08091641676197303,0.02989896647499987,0.049141188685510095,0.11426222336999774,0.03276606285476365,0.01807746430623119,0.06507360110467537,0.06016159039522713,0.14520999899862444,0.00922319607460775,0.05296222705927616,0.014641164968720189,0.1251245131470072,0.015184015937682817,0.09571569366340078,0.08405757382509658,0.001164757904279036,2.578573866863936,103.09,117.874,32.849171,-96.970489,89953.43874284605,227.39486138116442,43.08167801849274,31.199560356432,0.14261690271561758,0.9947229349072487,0.32238610781933724,18.399977373049385,6.7988713370226765,11.174453789247213,25.982642444324277,7.4508343208655,4.110722490038389,14.797402502770842,13.680436508393065,33.02000759345122,2.097307392876729,12.043338280581857,3.329325678520888,28.452671322449387,3.452767199358775,21.765256892591015,19.11426034799483,0.26485996218614694,-0.7700000000000005,11.0,0.7916666666666666,0.9810671108183402,0.8192140635016044,1.0164308160280755,1.6529976856832285,0.8069294383713712,1.149440879336906,1.2285084762795386,0.8352781698432963,1.151232903418115,0.36489416077691805,0.34960451730873177,0.8682634730538922,0.2699147296613272,0.26474071128675897,0.6661577053197197,0.3911481759120438,0.4802906134693367,1
"Houston-Pasadena-The Woodlands, TX Metro Area",81417,7796182,26420,"Houston-Pasadena-The Woodlands, TX","HOUSTON-PASADENA-THE WOODLANDS, TX","Houston-Pasadena-The Woodlands, TX",4.4,0.20000000000000018,8.5,6.2,4.2,4.2,TX,South,26420,2863143,59960758,215326128,162055,0.9374533337447163,0.0538952824658295,0.008651383789454197,17.667723920891056,75.20620800288354,1328.722520132054,0.00013167347911019464,0.016317382680501813,0.008006236503031809,0.07794580990191548,0.07244206803502305,0.05436892254421103,0.11086278261337279,0.05472203099880097,0.014880849472066188,0.03580331125619642,0.019664403768865194,0.084774668956458,0.04320322107558023,0.0676752785313203,0.022499400134747025,0.14015227321862722,0.015131622835464383,0.11678529504114883,0.04453218019498153,0.00010058875857754921,106,1258,523,12022,5739,9596,20204,5889,2535,9720,9268,22233,1166,8064,2347,20054,2076,15903,13129,223,0.0006540989170343402,0.007762796581407547,0.0032272993736694334,0.0741846903828947,0.03541390268735923,0.05921446422510876,0.12467372188454537,0.03633951436240782,0.01564283730832125,0.05997963654314893,0.0571904600290025,0.13719416247570268,0.007195088087377742,0.049760883650612445,0.014482737342260344,0.12374811020949678,0.01281046558267255,0.098133349788652,0.08101570454475332,0.001376076023572244,2.590691278402269,98.629,104.51,29.801005,-95.34262,82548.74327023492,207.8645675537077,36.72493792474316,27.619433204612207,0.13596398852669167,1.6136103544016802,0.6708411886741485,15.420368585546106,7.361295567497013,12.308588999076727,25.915249284842247,7.553697438053653,3.2515916124072017,12.467641212070216,11.88787024212621,28.517805253905053,1.4956038737936082,10.343524561124921,3.01044793464288,25.722847414285607,2.6628418885038854,20.39844631641488,16.8402943902541,0.2860374475608702,-1.0200000000000002,11.0,0.7916666666666666,0.9194582398722072,0.8170892055642415,0.9189117777928636,1.4276152406100358,0.7109314745606587,0.9092105660907647,1.110843805088504,0.7000170157442639,0.9699782640000018,0.26517087614784,0.26837936250700817,0.8383233532934131,0.28880127793706123,0.21846505581132233,0.7084420489176452,0.5304847576211892,0.47016424444745786,0
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",80625,6457988,33100,"Miami-Fort Lauderdale-West Palm Beach, FL","MIAMI-FORT LAUDERDALE-WEST PALM BEACH, FL","Miami-Fort Lauderdale-West Palm Beach, FL",2.9,0.3999999999999999,8.4,5.1,2.8,2.5,FL,South,33100,2428299,41214480,158710222,222388,0.9630645538428333,0.03252423691925823,0.00441120923790852,10.919199776966384,65.35859957937635,713.6636059499614,0.0004480502606968911,0.00034097942633917814,0.004380020747033211,0.05651157456309952,0.033198959436214405,0.05727507197425029,0.13540383618327068,0.055955629846242166,0.024123058980792728,0.04802085739853288,0.029990952514496773,0.08260308965246867,0.02347075051301343,0.07285387837329753,0.03136598911419063,0.15687277390469626,0.02301405222338765,0.1240423852252132,0.03999795741792918,0.0001301322448347588,312,42,277,17761,4683,15088,23737,7889,3610,13086,16069,40122,911,13155,3244,26082,3912,14604,17515,289,0.0014029533967660126,0.00018885911110311707,0.0012455708041800816,0.07986492076910624,0.021057790887997554,0.06784538734104358,0.10673687429177833,0.035474036368868825,0.016232890263863157,0.05884310304512833,0.0722565965789521,0.18041441084950627,0.004096444052736658,0.05915337158479774,0.014587118009964567,0.1172815079950357,0.017590877205604618,0.06566901091785528,0.07875874597550228,0.0012995305502095436,2.536009863142168,114.155,155.551,26.101828,-80.478755,70627.65538084184,344.36112299991885,37.60147897456607,24.575800078910024,0.48312260722689476,0.06503573558823585,0.428926160903365,27.50237380434897,7.251484518088296,23.363313775126244,36.75602989661796,12.215879001323632,5.589976320798366,20.263277045420338,24.88236274208004,62.12770912550472,1.4106560743067345,20.370121468172442,5.02323633924374,40.38719180029446,6.057614229075681,22.613854345966576,27.121450210189305,0.4475077996428609,-1.3600000000000003,4.0,0.9375,1.0193175691492207,1.1588912357285046,1.4427744183818092,3.110143421700114,1.1449617294880576,1.5630700717992156,1.8535550489785517,1.2484869949508912,1.5764760917598029,0.2581913037347762,0.13761203888073958,0.9281437125748502,0.22205903797698096,0.5418840288803642,0.5176283801762187,0.045539730134932475,0.4168214423036828,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",126244,6437907,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","WASHINGTON-ARLINGTON-ALEXANDRIA, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV",3.0,0.5,6.4,4.5,2.8,2.5,DC,South,47900,2863486,62581519,242960671,159002,0.9340574332398335,0.05708104300574836,0.008861523754418184,18.009119382146135,84.84786410689628,1528.0353140212073,0.00022001155235262194,0.00028985648960742254,0.0025151161905453702,0.05829677532909188,0.018064694571581632,0.020888874609479493,0.09270448676892432,0.025427049407610165,0.04467561566566067,0.03898779320031598,0.020326972089264622,0.22115596164954185,0.026961542679098133,0.07431291789099022,0.038653235950865485,0.1274970438130307,0.016328698656113562,0.10193763824932268,0.0706820288277994,7.368640880381465e-05,120,45,206,13424,2069,3751,15148,3063,3787,6970,8820,34327,1346,8661,3287,19078,2509,14138,18064,189,0.0007547074879561263,0.00028301530798354737,0.0012955811876580168,0.08442661098602533,0.013012414938176878,0.02359089822769525,0.09526924189632835,0.019263908630080123,0.023817310474082087,0.04383592659211834,0.055471000364775286,0.21589036615891624,0.008465302323241218,0.05447101294323342,0.02067269594093156,0.11998591212689148,0.01577967572734934,0.08891712053936429,0.11360863385366222,0.0011886642935308989,2.4567468739572513,108.884,151.134,38.829787,-77.495684,115943.5729767459,246.97778330752527,44.47852384323042,37.7390774672576,0.1863959824209949,0.06989849340787309,0.3199797698227079,20.851497233495298,3.213777396908654,5.826427750509599,23.52938618094359,4.757757451295895,5.882346545235897,10.826499978952787,13.700104707943124,53.3201240713791,2.0907416028221597,13.453130031235306,5.105696618481752,29.63385460523117,3.897229332452302,21.960553328900218,28.058808553773762,0.29357367231306697,-0.8800000000000004,30.0,0.3958333333333333,0.9898700811424905,0.7418646546937305,1.058626892255524,2.66923141797861,1.184533338745785,1.6448226806614759,1.8839825774879528,0.9465664057390122,0.8422980318533678,0.6602129122089642,0.6347010056484025,0.9221556886227544,0.35414767450685986,0.3111410653353318,0.2410360189535984,0.21017616191904043,0.5000727191479241,1
"Atlanta-Sandy Springs-Roswell, GA Metro Area",92344,6409047,12060,"Atlanta-Sandy Springs-Roswell, GA","ATLANTA-SANDY SPRINGS-ROSWELL, GA","Atlanta-Sandy Springs-Roswell, GA",3.4,0.19999999999999973,6.8,3.9,3.0,3.2,GA,South,12060,2692513,51494091,192698424,163103,0.9448691930865772,0.04719103879143854,0.007939768121984268,16.50805319338087,71.56824275314548,1181.4523583257205,0.00025255216966454757,0.0005084469415746553,0.005686137819947388,0.054633348102683256,0.06070277098012154,0.055724893435983414,0.11037532595014397,0.08236617613359713,0.04162988256695511,0.050395299855562445,0.023297937651554513,0.09483445390978613,0.04010082773973608,0.06978796388355414,0.025090686655923296,0.1245773000910302,0.016463058859882942,0.10516012364657107,0.03831142133761285,0.00010139226811532573,146,60,199,14024,4023,8164,18625,5775,3549,9445,10567,25159,1125,9392,2504,18435,3032,14416,14253,210,0.0008951398809341337,0.0003678657044934796,0.0012200879199033739,0.08598247733027596,0.024665395486287805,0.05005426019141279,0.11419164576985096,0.035407074057497406,0.021759256420789318,0.057908192982348575,0.06478728165637665,0.1542522209891909,0.006897481959252742,0.05758324494337934,0.015352262067527881,0.1130267377056216,0.018589480267070503,0.08838586659963336,0.08738649810242607,0.0012875299657271785,2.568822446566754,100.058,111.022,33.732402,-84.392848,92290.47152651462,254.4886938728956,42.01112895567781,30.066626754336486,0.22780297913246697,0.09361766265717822,0.31049858114630774,21.881568351737783,6.277064281163798,12.738243298886715,29.060482783165735,9.010700030753402,5.537484746172091,14.736980396617469,16.4876306883067,39.25544624653244,1.7553311748220914,14.654284794603628,3.9069771215595703,28.764026851418002,4.730812552942739,22.493203747764685,22.238875764212683,0.3276618193001237,-0.7500000000000001,22.0,0.5625,1.013879253654919,0.916256159823961,1.027553545096215,1.9651467860004317,0.9388385008740017,1.5483923693168862,1.4416596554166312,0.9933271109839138,1.1465320840219704,0.3614660627104006,0.3752403925898045,0.8982035928143712,0.2641449411675315,0.3289376388380437,0.6321296123471042,0.48585082458770584,0.505817728021998,1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",90850,6330422,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","PHILADELPHIA-CAMDEN-WILMINGTON, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",3.8,0.09999999999999964,8.9,6.0,4.0,3.7,PA,Northeast,37980,2873871,54644259,207273499,153791,0.9369859094485373,0.05454155314680313,0.00847253740465957,18.68686073957514,72.12345265323322,1347.76091578831,0.0003705803078843831,0.0004259063820192347,0.0047886630958731274,0.04470764345372496,0.0595447742783166,0.04794265295832694,0.10977145459904081,0.0441390723522385,0.026765641185703883,0.06645983761971223,0.014502042715208859,0.08509324183305375,0.04290241280836892,0.05611629749560784,0.05236003982085487,0.20510384773707657,0.018808081504006268,0.07973565967296375,0.04036924413099962,9.290604901890168e-05,140,74,311,14143,4708,6873,18474,4723,3113,8765,6766,19559,1469,9114,2632,19759,2800,14064,16108,196,0.000910326351997191,0.00048117250034137237,0.002022224967650903,0.09196246854497338,0.030612974751448394,0.044690521551976385,0.12012406447711504,0.030710509717733807,0.02024175666976611,0.05699293196610985,0.0439947721258071,0.12717909370509328,0.009551924364884811,0.05926224551501713,0.01711413541754719,0.12847955992223212,0.01820652703994382,0.09144878438920354,0.10473954912836252,0.0012744568927960673,2.5727621595727608,102.554,113.141,39.894958,-75.311982,88587.47586637284,242.93957022138494,45.39777916859255,32.742445764279225,0.22115429271539874,0.1168958404352822,0.49127846453206436,22.341322584813458,7.437102929314982,10.857096098806684,29.18288859731626,7.460798032105917,4.917523665878831,13.845838397503357,10.688071032231342,30.8968343658606,2.320540399992291,14.397144455772459,4.157700703049497,31.212769069739743,4.423085854307975,22.216528376781202,25.445381050426022,0.3096160098015583,-1.2500000000000007,37.0,0.25,1.0014081347434876,0.920115527269799,1.1150313436833494,1.5467105983293197,1.0742046339407407,1.3750387530088468,1.5341757006478627,1.014197934170014,1.0772015382855915,0.3483000511130303,0.3346207078454887,0.8742514970059879,0.2679078804301663,0.3015728038866527,0.6458774476744931,0.40788980509745115,0.4815981766710117,1
"Phoenix-Mesa-Chandler, AZ Metro Area",90133,5186958,38060,"Phoenix-Mesa-Chandler, AZ","PHOENIX-MESA-CHANDLER, AZ","Phoenix-Mesa-Chandler, AZ",3.2,0.0,7.3,4.6,3.3,3.2,AZ,West,38060,2080244,34821325,134942786,114586,0.9371563716335329,0.05368020526067757,0.009163423105789537,18.15443422407624,64.86872982207856,1177.655088754298,0.00029179269354941053,0.0008633602596618473,0.0040668306217924435,0.07697414341779138,0.06505246499929816,0.041963827320256664,0.11873318706844005,0.05231069047669408,0.020172152882065756,0.07234487877383615,0.023471285099247972,0.07028502425676988,0.034105614533679704,0.06860685573423117,0.031913083272923755,0.1471312980592661,0.021271062433060737,0.11525090325942533,0.0351117465066598,7.979833134959168e-05,106,104,135,10303,3115,4815,11620,2979,1821,7392,9293,15942,760,6972,1860,16243,1828,9939,9243,116,0.0009250693802035153,0.0009076152409543924,0.0011781543993157977,0.08991499834185677,0.027184821880508962,0.042020840242263456,0.10140854903740422,0.025997940411568603,0.015891993786326428,0.06451049866475835,0.0811006580210497,0.13912694395475886,0.006632572914666713,0.06084512942244253,0.016232349501684326,0.14175379191175186,0.01595308327369836,0.0867383449985164,0.08066430453982162,0.0010123400764491298,2.551859688090533,103.316,121.236,33.185765,-112.067862,87240.1176971621,220.9117559849145,40.105279433533106,26.01578536012823,0.20435870118863503,0.20050287663790609,0.260268157174205,19.863280173080252,6.0054467377603595,9.28289760587998,22.402340639735275,5.7432506683107905,3.510728253438721,14.251127539494247,17.916088774962127,30.734777493860566,1.465213329277006,13.441404383841165,3.5859168321779356,31.31507908874527,3.524223639366272,19.161520104847583,17.819693161193904,0.22363782394227982,-0.9599999999999999,14.0,0.7291666666666666,0.8637038956590274,0.7063297178780059,1.1186862221630227,1.5385979522735311,0.7522778665103202,0.9816703950520964,1.3231896332596729,0.9017056909187632,1.108732896277012,0.3419814230572642,0.3198409810799101,0.9101796407185628,0.21873894202224045,0.24937944973184903,0.5729371762803619,0.3840892053973012,0.4565634291585879,0
