feature,importance
Employment Share: Agriculture,0.1583764249676496
Employment per 100 Residents,0.13366905231453852
State Business Climate Score,0.12940298009696444
Unemployment Trend Slope (2020-2024),0.07252303024325077
Employment Share: Administrative Support,0.053575232018695754
Payroll per Capita,0.02907350645022773
Employment Share: Professional Services,0.027013721730587525
Employment Share: Health Care,0.026905424528266667
Employment Share: Accommodation & Food,0.02562752045740213
Employment Share: Utilities,0.022820078843169396
Employment Share: Finance & Insurance,0.01990267809807826
Employment Share: Arts & Recreation,0.01960834418184089
Employment Share: Construction,0.019293182715402365
Employment Share: Other Services,0.018556395010135666
Employment Share: Information,0.017028224460356105
Establishments,0.016841428412898443
Employment Share: Transportation & Warehousing,0.015606512942710569
Employment Share: Real Estate,0.015506378241939641
Employment Share: Wholesale Trade,0.014662089432353483
Employment Share: Educational Services,0.014222088605677252
Employment Share: Retail Trade,0.014219968876591285
Annual Payroll per Employee,0.013325859580817882
Employment Share: Management of Companies,0.01310663543853614
Average Employees per Establishment,0.01280763729410817
"Cost of Living Index (BEA RPP, 100 = US avg)",0.012791325616372999
"Housing Cost Index (BEA RPP, 100 = US avg)",0.011393562508873278
Employment Share: Manufacturing,0.010594093175069322
Population,0.01021945751500787
Employment Share: Mining & Oil/Gas,0.010082873725436477
Share of Small Establishments,0.009117104497730092
Share of Large Establishments,0.008902035887842987
Employment,0.007979881792790163
Share of Mid-size Establishments,0.007662777215894145
Employment Share: Unclassified,0.00758249312278382
