metro_title,Income-Heavy,Employment-Heavy,Balanced (default),Density-Heavy,Diversity-Heavy,rank_mean,rank_std,stability
"San Jose-Sunnyvale-Santa Clara, CA",1,1,1,2,1,1.2,0.4,Stable
"San Francisco-Oakland-Fremont, CA",2,2,2,3,4,2.6,0.8,Stable
"Bozeman, MT",5,3,4,1,10,4.6,3.006659275674582,Stable
"Midland, TX",9,4,5,4,2,4.8,2.3151673805580453,Stable
"Napa, CA",3,7,6,5,5,5.2,1.32664991614216,Stable
"Bridgeport-Stamford-Danbury, CT",4,5,3,8,6,5.2,1.7204650534085253,Stable
"Boston-Cambridge-Newton, MA-NH",6,6,7,9,8,7.2,1.16619037896906,Stable
"Seattle-Tacoma-Bellevue, WA",8,8,8,12,7,8.6,1.7435595774162693,Stable
"Casper, WY",47,9,10,6,3,15.0,16.186414056238647,Moderate
"Denver-Aurora-Centennial, CO",11,21,9,15,19,15.0,4.560701700396552,Stable
"Salt Lake City-Murray, UT",16,17,14,18,15,16.0,1.4142135623730951,Stable
"Oxnard-Thousand Oaks-Ventura, CA",10,38,15,19,14,19.2,9.826494797230598,Stable
"Minneapolis-St. Paul-Bloomington, MN-WI",20,16,16,31,20,20.6,5.499090833947007,Stable
"Manchester-Nashua, NH",13,14,13,33,32,21.0,9.402127418834526,Stable
"Portland-South Portland, ME",23,13,21,16,34,21.4,7.227724399837061,Stable
"Los Angeles-Long Beach-Anaheim, CA",22,45,19,13,9,21.6,12.547509713086496,Stable
"Portland-Vancouver-Hillsboro, OR-WA",21,26,20,22,21,22.0,2.0976176963403033,Stable
"New York-Newark-Jersey City, NY-NJ",19,24,17,21,29,22.0,4.1952353926806065,Stable
"Boulder, CO",12,12,12,7,71,22.8,24.17767565337909,Moderate
"Burlington-South Burlington, VT",29,10,23,23,31,23.2,7.332121111929345,Stable
"Anchorage, AK",18,31,18,25,27,23.8,5.114684741017769,Stable
"Sioux Falls, SD-MN",46,11,27,27,17,25.6,11.892854997854805,Stable
"Santa Rosa-Petaluma, CA",15,33,22,20,41,26.2,9.453041838477178,Stable
"Billings, MT",55,23,30,14,16,27.6,14.813507349712962,Stable
"Bismarck, ND",40,19,28,28,23,27.6,7.059745037889116,Stable
"Madison, WI",36,18,25,44,18,28.2,10.283968105745952,Stable
"Charlottesville, VA",27,20,26,38,33,28.8,6.177378084592201,Stable
"Bend, OR",28,42,33,11,42,31.2,11.443775600735973,Stable
"San Diego-Chula Vista-Carlsbad, CA",14,37,24,30,53,31.6,13.093509842666327,Stable
"Helena, MT",32,27,37,26,55,35.4,10.55651457631732,Stable
"Austin-Round Rock-San Marcos, TX",24,28,29,46,54,36.2,11.668761716651858,Stable
"Nashville-Davidson--Murfreesboro--Franklin, TN",48,29,32,54,24,37.4,11.551623262554921,Stable
"Missoula, MT",68,25,47,10,38,37.6,19.663163529808728,Moderate
"Fairbanks-College, AK",41,48,35,42,25,38.2,7.782030583337487,Stable
"Rapid City, SD",63,22,42,24,48,39.8,15.341447128612087,Moderate
"Cheyenne, WY",54,40,44,17,44,39.8,12.302845199383759,Stable
"Raleigh-Cary, NC",26,35,31,51,66,41.8,14.715977711317723,Stable
"Santa Maria-Santa Barbara, CA",37,59,38,40,35,41.8,8.749857141690944,Stable
"Minot, ND",91,30,49,37,13,44.0,26.229754097208,Moderate
"Atlanta-Sandy Springs-Roswell, GA",43,41,39,52,46,44.2,4.534313619501853,Stable
"Greeley, CO",33,71,34,71,12,44.2,23.249946236496978,Moderate
"Washington-Arlington-Alexandria, DC-VA-MD-WV",7,15,11,45,152,46.0,54.66991860246364,Volatile
"Fayetteville-Springdale-Rogers, AR",70,36,40,67,26,47.8,17.531685600648903,Moderate
"Odessa, TX",81,47,41,62,11,48.4,23.251666606933792,Moderate
"Fort Collins-Loveland, CO",42,57,51,34,58,48.4,9.178235124467012,Stable
"Charlotte-Concord-Gastonia, NC-SC",60,54,46,57,30,49.4,10.762899237658969,Stable
"Des Moines-West Des Moines, IA",61,43,48,60,36,49.6,9.687104830649869,Stable
"Bellingham, WA",59,70,56,36,28,49.8,15.471263684650975,Moderate
"Trenton-Princeton, NJ",25,51,36,56,92,52.0,22.812277396174192,Moderate
"Reno, NV",58,84,58,47,22,53.8,20.023985617254123,Moderate
"San Luis Obispo-Paso Robles, CA",31,63,52,35,90,54.2,21.311030007955974,Moderate
"Chicago-Naperville-Elgin, IL-IN",53,79,53,49,37,54.2,13.717142559585797,Stable
"Miami-Fort Lauderdale-West Palm Beach, FL",64,32,59,29,89,54.6,22.168446043870553,Moderate
"Hartford-West Hartford-East Hartford, CT",45,46,43,70,70,54.8,12.448293055676348,Stable
"Rochester, MN",50,34,45,76,78,56.6,17.453939383417143,Moderate
"Appleton, WI",72,44,62,68,43,57.8,12.106196760337244,Stable
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",57,60,55,69,49,58.0,6.572670690061994,Stable
"Kahului-Wailuku, HI",34,81,61,41,74,58.2,18.214280112043955,Moderate
"Fargo, ND-MN",86,39,63,59,45,58.4,16.36581803638303,Moderate
"Dallas-Fort Worth-Arlington, TX",51,66,54,75,47,58.6,10.365326815879952,Stable
"Dubuque, IA",83,62,69,50,39,60.6,15.186836405255702,Moderate
"Urban Honolulu, HI",30,52,50,98,97,65.4,27.317393726342196,Moderate
"Green Bay, WI",88,55,66,79,40,65.6,17.024687956024334,Moderate
"Omaha, NE-IA",75,58,70,74,57,66.8,7.782030583337488,Stable
"Baltimore-Columbia-Towson, MD",39,50,57,78,119,68.6,28.231896854444617,Moderate
"Richmond, VA",79,56,67,77,68,69.4,8.212186067059124,Stable
"Naples-Marco Island, FL",38,53,64,32,168,71.0,49.78353141351064,Volatile
"Boise City, ID",65,67,72,61,96,72.2,12.416118556135006,Stable
"Gainesville, GA",71,61,71,90,72,73.0,9.402127418834526,Stable
"Milwaukee-Waukesha, WI",96,64,76,80,56,74.4,13.763720427268202,Stable
"Provo-Orem-Lehi, UT",44,73,68,88,102,75.0,19.555050498528505,Moderate
"Durham-Chapel Hill, NC",77,49,65,92,94,75.4,16.906803364326446,Moderate
"Charleston-North Charleston, SC",66,75,75,73,93,76.4,8.935323161475472,Stable
"Traverse City, MI",82,87,82,43,88,76.4,16.883127672324225,Moderate
"Kansas City, MO-KS",85,76,77,84,60,76.4,8.957678270623477,Stable
"Mount Vernon-Anacortes, WA",69,123,79,64,67,80.4,21.886982432487127,Moderate
"La Crosse-Onalaska, WI-MN",112,69,84,89,50,80.8,20.68235963327202,Moderate
"Sacramento-Roseville-Folsom, CA",52,109,73,94,87,83.0,19.3597520645281,Moderate
"Santa Cruz-Watsonville, CA",35,158,74,63,99,85.8,41.537452979209014,Volatile
"Sioux City, IA-NE-SD",99,78,87,95,77,87.2,8.818163074019441,Stable
"Wausau, WI",102,68,86,97,85,87.6,11.740528097151337,Stable
"Dover, DE",97,107,91,83,61,87.8,15.522886329545804,Moderate
"Ogden, UT",56,82,78,109,118,88.6,22.35710177997139,Moderate
"Kiryas Joel-Poughkeepsie-Newburgh, NY",62,93,83,87,128,90.6,21.415881957089695,Moderate
"New Haven, CT",73,74,81,103,129,92.0,21.428952377566198,Moderate
"Phoenix-Mesa-Chandler, AZ",74,77,80,121,114,93.2,20.053927296168197,Moderate
"Cedar Rapids, IA",120,89,94,100,64,93.4,18.084247288731703,Moderate
"Orlando-Kissimmee-Sanford, FL",98,92,95,86,104,95.0,6.0,Stable
"Coeur d'Alene, ID",94,118,99,48,123,96.4,26.56764950084971,Moderate
"Santa Fe, NM",76,95,93,58,161,96.6,34.86316107297214,Moderate
"Indianapolis-Carmel-Greenwood, IN",105,102,92,110,76,97.0,12.033287165193059,Stable
"Grand Junction, CO",123,127,106,66,69,98.2,26.056860900730157,Moderate
"Grand Forks, ND-MN",152,72,102,102,73,100.2,29.068195678438656,Moderate
"Houston-Pasadena-The Woodlands, TX",103,116,88,135,63,101.0,24.48673110074107,Moderate
"Medford, OR",133,147,110,65,51,101.2,37.46144684872703,Volatile
"Lexington Park, MD",17,65,60,152,213,101.4,70.96083426792556,Volatile
"Kingston, NY",89,115,100,82,124,102.0,15.658863304850707,Moderate
"Pittsburgh, PA",116,100,101,101,101,103.8,6.112282715974449,Stable
"Twin Falls, ID",121,111,118,72,98,104.0,17.854971296532515,Moderate
