metro_title,primary_state,region,population,median_income,unemployment_rate,recent_unemployment_change,opportunity_score,annual_payroll_per_employee,establishments_per_10k,industry_entropy,median_income_norm,inverse_unemployment_norm,annual_payroll_per_employee_norm,establishments_per_10k_norm,industry_entropy_norm,business_key,business_type,sector_code,sector_label,market_strength_probability,momentum_score,sector_employment_share,sector_establishments,sector_establishments_per_10k,sector_employment_share_norm,sector_establishments_per_10k_norm,category_fit_score,business_feasibility_score,whitespace_opportunity_score,business_feasibility_rank,business_feasibility_percentile,feasibility_band,entry_strategy,strategy_guidance,strength_1,strength_2,strength_3,risk_1,risk_2,factor_summary,recommendation_summary
"San Jose-Sunnyvale-Santa Clara, CA",CA,West,1995484,164801,4.2,0.6000000000000001,0.7228693742998267,180.1413514796912,252.17942113291812,2.5559449797998663,1.0,0.8502994011976048,1.0,0.3234659797499566,0.5871930161343396,technology,Technology / IT Services,51,Information,1.0,51.99999999999999,0.15160013461322736,1913,9.586646648131481,1.0,0.7405748402284975,0.896229936091399,96.88689808274195,38.1169200158935,1,100.0,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Affluent demand,Payroll efficiency,Category demand footprint,Business density,Recent labor momentum,"Affluent demand, Payroll efficiency, and Category demand footprint","Established Leader: strongest signals are affluent demand and payroll efficiency, while the main watchout is business density."
"San Francisco-Oakland-Fremont, CA",CA,West,4648486,135590,4.2,0.6000000000000001,0.577280763262014,129.83934435994925,286.6438664115585,2.550544475111097,0.7425753917196891,0.8502994011976048,0.6590777694160384,0.40512705510071534,0.5683476715539616,technology,Technology / IT Services,51,Information,1.0,51.99999999999999,0.12107366580856908,4360,9.3793979373069,0.7944149692464372,0.7218320132227234,0.7653817868369517,92.96145360510855,43.0159561771877,2,99.74093264248705,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Low unemployment,Category demand footprint,Affluent demand,Business density,Recent labor momentum,"Low unemployment, Category demand footprint, and Affluent demand","Established Leader: strongest signals are low unemployment and category demand footprint, while the main watchout is business density."
"Bozeman, MT",MT,West,126984,103918,2.3,0.19999999999999973,0.5969988746212789,59.490801998244784,537.7055377055377,2.516047990277906,0.46346299592858275,0.9640718562874251,0.18228999585481426,1.0,0.4479703770308783,construction,Construction / Trades,23,Construction,0.9424681724537607,68.0,0.12733747384054547,1363,107.33635733635734,0.6743953545941672,1.0,0.8046372127565004,90.11188845445825,41.7786334893058,1,100.0,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Business density,Category location density,Low unemployment,Payroll efficiency,Economic diversity,"Business density, Category location density, and Low unemployment","Established Leader: strongest signals are business density and category location density, while the main watchout is payroll efficiency."
"Boulder, CO",CO,West,330262,102697,4.2,1.0,0.5172906358416307,82.81369385850056,393.3240881481975,2.4957124993069613,0.45270282179177607,0.8502994011976048,0.34036107038945823,0.6578983257606387,0.3770086138913022,technology,Technology / IT Services,51,Information,0.96,36.0,0.08637442910931656,373,11.294063501099128,0.5607278143517839,0.8949874711905443,0.694431677087288,88.03295031261862,42.085610084967335,3,99.48186528497409,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Category location density,Low unemployment,Business density,Payroll efficiency,Recent labor momentum,"Category location density, Low unemployment, and Business density","Established Leader: strongest signals are category location density and low unemployment, while the main watchout is payroll efficiency."
"Boulder, CO",CO,West,330262,102697,4.2,1.0,0.5172906358416307,82.81369385850056,393.3240881481975,2.4957124993069613,0.45270282179177607,0.8502994011976048,0.34036107038945823,0.6578983257606387,0.3770086138913022,professional_services,Professional Services Firm,54,Professional Services,0.96,36.0,0.16442904666737668,2957,89.53497526206466,0.4710752465368827,1.0,0.6826451479221296,87.67935443766387,42.59581932040594,1,100.0,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Category location density,Low unemployment,Business density,Payroll efficiency,Recent labor momentum,"Category location density, Low unemployment, and Business density","Established Leader: strongest signals are category location density and low unemployment, while the main watchout is payroll efficiency."
"Rochester, MN",MN,Midwest,230742,90584,2.5,0.10000000000000009,0.5502519701434465,73.27920223243598,230.30050879337097,2.5520779882662072,0.3459559017924811,0.9520958083832335,0.275740981872825,0.27162543815099754,0.5736989462018094,professional_services,Professional Services Firm,54,Professional Services,0.948791301410116,71.99999999999999,0.3350705843729481,387,16.771979093533037,1.0,0.12932554761730522,0.6517302190469221,85.96729767011578,49.44073780129913,2,99.74093264248705,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Category demand footprint,Low unemployment,Recent labor momentum,Category location density,Business density,"Category demand footprint, Low unemployment, and Recent labor momentum","Established Leader: strongest signals are category demand footprint and low unemployment, while the main watchout is category location density."
"Bozeman, MT",MT,West,126984,103918,2.3,0.19999999999999973,0.5969988746212789,59.490801998244784,537.7055377055377,2.516047990277906,0.46346299592858275,0.9640718562874251,0.18228999585481426,1.0,0.4479703770308783,retail,Retail Store,44,Retail Trade,0.9424681724537607,68.0,0.16355566056841964,622,48.98254898254898,0.5546030073516779,0.7293342732358099,0.6244955137053307,84.70763748292316,50.50927950918524,1,100.0,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Business density,Low unemployment,Category location density,Payroll efficiency,Economic diversity,"Business density, Low unemployment, and Category location density","Established Leader: strongest signals are business density and low unemployment, while the main watchout is payroll efficiency."
"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,South,6437907,126244,3.0,0.5,0.5000727191479241,84.84786410689628,246.97778330752527,2.4567468739572513,0.6602129122089642,0.9221556886227544,0.35414767450685986,0.3111410653353318,0.2410360189535984,personal_services,Salon / Repair / Personal Services,81,Other Services,0.9054545454545455,55.99999999999999,0.0706820288277994,18064,28.058808553773762,0.7211864762273523,0.6374694312190178,0.6876996582240185,84.01280792853873,43.34951340960086,1,100.0,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Low unemployment,Category demand footprint,Affluent demand,Economic diversity,Business density,"Low unemployment, Category demand footprint, and Affluent demand","Established Leader: strongest signals are low unemployment and category demand footprint, while the main watchout is economic diversity."
"Bismarck, ND",ND,Midwest,138774,86769,2.3,0.2999999999999998,0.5705013293339585,57.17260204512803,299.76796806318185,2.5946366736677784,0.3123358654846044,0.9640718562874251,0.16657837828307684,0.43622368947911466,0.7222097127878274,personal_services,Salon / Repair / Personal Services,81,Other Services,0.9054413324071344,64.0,0.05968055438181357,477,34.37243287647542,0.5722588584818216,0.8567482187265913,0.6860546025797295,83.96253134589129,45.42742254679054,2,99.74093264248705,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Low unemployment,Category location density,Economic diversity,Payroll efficiency,Affluent demand,"Low unemployment, Category location density, and Economic diversity","Established Leader: strongest signals are low unemployment and category location density, while the main watchout is payroll efficiency."
"Bozeman, MT",MT,West,126984,103918,2.3,0.19999999999999973,0.5969988746212789,59.490801998244784,537.7055377055377,2.516047990277906,0.46346299592858275,0.9640718562874251,0.18228999585481426,1.0,0.4479703770308783,personal_services,Salon / Repair / Personal Services,81,Other Services,0.9424681724537607,68.0,0.04352595692972389,469,36.933786933786934,0.3535731063137948,0.9457067286660197,0.5904265552546848,83.68556872940378,52.16044644091314,3,99.48186528497409,High,Established Leader,"Best for immediate entry into a proven, already-validated market.",Business density,Low unemployment,Category location density,Payroll efficiency,Category demand footprint,"Business density, Low unemployment, and Category location density","Established Leader: strongest signals are business density and low unemployment, while the main watchout is payroll efficiency."
